count,length
30259,3
13096,4
6315,5
3405,6
2007,7
1315,8
826,9
609,10
462,11
333,12
237,13
172,14
125,15
121,16
93,17
62,18
61,19
39,20
31,21
36,22
29,23
28,24
22,25
14,26
9,27
7,28
4,29
11,30
4,31
5,32
7,33
3,34
2,35
5,36
2,38
1,39
2,40
1,42
1,43
1,44
2,45
1,46
1,48
1,49
1,53
1,56
2,58
1,59
1,61
1,64
3,65
1,66
2,67
