count,length
26499,3
11052,4
5271,5
2785,6
1599,7
983,8
601,9
513,10
325,11
269,12
179,13
125,14
101,15
88,16
64,17
62,18
44,19
37,20
26,21
28,22
27,23
14,24
19,25
10,26
15,27
7,28
5,29
5,30
4,31
7,32
5,33
1,34
1,36
3,38
1,39
1,42
1,44
1,45
1,46
1,48
1,49
1,53
1,58
1,59
2,67
