count,length
15645,3
6800,4
3412,5
2088,6
1202,7
799,8
494,9
355,10
293,11
206,12
163,13
113,14
90,15
85,16
67,17
44,18
44,19
24,20
22,21
23,22
18,23
22,24
10,25
10,26
4,27
6,28
4,29
6,30
2,31
1,32
4,33
1,34
2,35
5,36
2,38
2,40
1,42
1,43
1,45
1,49
1,56
1,58
1,61
1,64
3,65
1,66
