,VarDb,VarQuery,cRMSE,combinations,ddP,ddP_abs,euclidian,manhattan,pearson,spearman,indexDdPStd,sumDdPStd,indexRMSSEStd,rankRMSSEStd,rankRMSSEMean,rankRMSSEMedian,indexPeaStd,rankPeaStd,indexEuclStd,rankEuclStd,indexManStd,rankManStd,indexSpeStd,indexSpeCum,rankSpeStd,indexSpeStdAUC,rankSpeStdAUC,indexddP_absStdAUC,rankddP_absStdAUC
456,0.030824,1.078104,1.06059228736,"(16, 33)",0.122,0.122,5.5580392226,11.24,-0.0436874227013,0.1,2575,0.240558729821,2575,0.602708861765,0.0,0.0,1246,0.624788734182,2237,0.633361586313,2144,0.638536010985,1432,,,1516,0.621565187517,456,0.0722777803318
457,1.078104,0.030824,1.06059228736,"(33, 16)",-0.122,0.122,5.5580392226,11.24,-0.0436874227013,0.1,2574,0.240372655824,2574,0.602821085122,-4.73786407767e-05,-0.002,1247,0.624547923681,2236,0.633497881679,2145,0.638392654824,1433,,,1515,0.621762294415,457,0.0724240303675
2315,0.324336,0.99508,1.0620809762,"(31, 36)",0.842,0.842,3.53666509582,7.74,0.168455564312,0.4,2577,0.240932049229,2577,0.602931313769,0.0,0.0,1601,0.625545179452,1469,0.633105964199,1578,0.638416594848,1949,,,1974,0.620776342349,2315,0.414686913966
2314,0.99508,0.324336,1.0620809762,"(36, 31)",-0.842,0.842,3.53666509582,7.74,0.168455564312,0.4,2576,0.240745624879,2576,0.602820052641,-0.000326736515328,-0.002,1600,0.625386347134,1468,0.63294002169,1579,0.638566194541,1974,,,1948,0.620933566559,2314,0.414406973177
209,0.597416,0.125256,1.06233704633,"(26, 14)",-0.06,0.06,2.80843372719,4.97,-0.741888299679,-0.6,2578,0.241118226023,2578,0.602815567335,-2.326483133e-05,-0.002,217,0.561910208636,1102,0.618339364037,963,0.621532652541,346,,,419,0.590841177596,209,0.0357046082127
208,0.125256,0.597416,1.06233704633,"(14, 26)",0.06,0.06,2.80843372719,4.97,-0.741888299679,-0.6,2579,0.241303934776,2579,0.602699889322,0.0,0.0,216,0.563188648237,1103,0.618061895967,962,0.621852266367,343,,,422,0.59413922472,208,0.0355473116312
1080,0.22028,0.531496,1.07102567663,"(13, 24)",0.298,0.298,5.59631128512,11.31,-0.577671919266,-0.7,2581,0.24168903876,2580,0.602611658662,0.00011545912437,0.002,410,0.599049782714,2244,0.63331671232,2155,0.637576228481,260,,,233,0.585504020727,1080,0.168038413107
1079,0.531496,0.22028,1.07102567663,"(24, 13)",-0.298,0.298,5.59631128512,11.31,-0.577671919266,-0.7,2580,0.241496730865,2581,0.602523505557,0.0,0.0,411,0.598502873277,2245,0.633206944631,2154,0.637691816115,201,,,252,0.589463183838,1079,0.167871688214
205,0.3256,0.5654,1.07377837564,"(46, 38)",-0.06,0.06,3.3426037755,5.28,-0.305317146969,-0.4,2583,0.242077011003,2582,0.602408018115,-2.32288037166e-05,-0.002,811,0.630068265908,1381,0.631078203543,1053,0.637813235172,591,,,621,0.616696859403,205,0.0350666494395
204,0.5654,0.3256,1.07377837564,"(38, 46)",0.06,0.06,3.3426037755,5.28,-0.305317146969,-0.4,2582,0.241883270997,2583,0.602292598836,0.0,0.0,810,0.630453072909,1380,0.631304582039,1052,0.638113337215,597,,,627,0.615484112456,204,0.0349001669592
